filepath,label,width,height,label_id,split
/content/drive/MyDrive/AML_Project_EyeDisease/data/diabetic_retinopathy/10940_right.jpeg,diabetic_retinopathy,512,512,1,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_45_7744209.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/2470_right.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_108_4678854.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_47_787901.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_83_8570399.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/3068_left.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_115_1763401.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/Glaucoma_095.png,glaucoma,2592,1728,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_292_2084855.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/931_left.jpg,glaucoma,512,512,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_224_4070697.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/2726_right.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_207_7240075.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/2396_left.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_221_6907746.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_374_8613138.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/diabetic_retinopathy/11176_left.jpeg,diabetic_retinopathy,512,512,1,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/Glaucoma_088.png,glaucoma,2592,1728,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/2638_left.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/3109_right.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/diabetic_retinopathy/11289_left.jpeg,diabetic_retinopathy,512,512,1,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/2842_left.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/2191_right.jpg,cataract,512,512,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/diabetic_retinopathy/11504_left.jpeg,diabetic_retinopathy,512,512,1,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_32_9062172.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/diabetic_retinopathy/11261_left.jpeg,diabetic_retinopathy,512,512,1,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/cataract_085.png,cataract,2464,1632,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/Glaucoma_017.png,glaucoma,2464,1632,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/2966_left.jpg,normal,512,512,3,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_205_310538.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_60_3287251.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/glaucoma/_150_5894989.jpg,glaucoma,256,256,2,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/cataract/_26_1879474.jpg,cataract,256,256,0,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/diabetic_retinopathy/10078_left.jpeg,diabetic_retinopathy,512,512,1,train
/content/drive/MyDrive/AML_Project_EyeDisease/data/normal/3094_right.jpg,normal,512,512,3,train
